JFM_prec,year
383.1725090884754,1979.0
365.1286575319049,1980.0
485.9702659801979,1981.0
368.3476014990417,1982.0
289.1321173877542,1983.0
364.7196280898447,1984.0
492.4036502440449,1985.0
433.7900302562166,1986.0
461.98458548786425,1987.0
555.275071669805,1988.0
562.40032508099,1989.0
443.0059751847658,1990.0
617.7817825112775,1991.0
292.9981794127752,1992.0
385.6016202065655,1993.0
525.6236029584722,1994.0
378.92645014747166,1995.0
573.2558331948419,1996.0
487.9205596366417,1997.0
531.1013445452924,1998.0
391.9891206853347,1999.0
761.740502036115,2000.0
409.8637920531357,2001.0
399.27706894036555,2002.0
428.6711898815949,2003.0
501.80909110388575,2004.0
528.1712487197916,2005.0
624.1157306087155,2006.0
276.37198368422423,2007.0
401.0997025134616,2008.0
470.3793639319724,2009.0
464.8228692177039,2010.0
479.8370700756375,2011.0
394.5345737906415,2012.0
342.9698950848651,2013.0
455.17843421372805,2014.0
398.5384395817204,2015.0
427.8304200952241,2016.0
457.29191677534595,2017.0
484.4157989325056,2018.0
